data,day_of_week,n1,n2,n3,n4,n5,n6,star
2023-01-19,Thursday,29,47,57,59,67,87,6
2023-01-17,Tuesday,9,10,14,40,60,68,21
2023-01-14,Saturday,37,44,52,58,74,78,65
2023-01-12,Thursday,9,10,22,41,44,85,5
2023-01-10,Tuesday,21,24,31,32,56,83,78
2023-01-07,Saturday,17,41,54,60,67,86,51
2023-01-05,Thursday,5,9,13,15,50,64,68
2023-01-03,Tuesday,8,10,30,34,51,71,20
2022-12-31,Saturday,9,15,30,37,44,72,75
2022-12-29,Thursday,2,19,34,37,46,58,62
2022-12-27,Tuesday,3,37,39,44,68,72,11
2022-12-24,Saturday,9,23,29,69,72,81,8
2022-12-22,Thursday,9,25,34,39,54,64,87
2022-12-20,Tuesday,7,12,23,73,81,87,35
2022-12-17,Saturday,8,21,24,54,68,70,12
2022-12-15,Thursday,3,4,30,32,39,65,43
2022-12-13,Tuesday,32,40,51,61,75,76,72
2022-12-12,Monday,16,33,51,54,68,86,42
2022-12-10,Saturday,29,50,55,56,76,81,9
2022-12-06,Tuesday,12,21,31,39,70,83,16
2022-12-03,Saturday,4,37,38,53,73,79,29
2022-12-01,Thursday,4,13,32,54,56,68,67
2022-11-29,Tuesday,18,33,43,60,61,78,20
2022-11-26,Saturday,3,8,42,48,61,72,56
2022-11-24,Thursday,25,58,66,78,81,88,76
2022-11-22,Tuesday,14,22,23,35,41,64,17
2022-11-19,Saturday,19,30,44,48,58,72,40
2022-11-17,Thursday,3,6,39,48,52,88,9
2022-11-15,Tuesday,13,21,23,33,48,86,28
2022-11-12,Saturday,19,32,51,61,71,82,48
2022-11-10,Thursday,10,16,18,34,39,45,87
2022-11-08,Tuesday,15,31,33,44,46,73,79
2022-11-05,Saturday,11,18,41,50,63,74,81
2022-11-03,Thursday,10,15,37,40,43,59,5
2022-10-31,Monday,12,17,32,64,81,84,11
2022-10-29,Saturday,15,32,66,74,79,86,84
2022-10-27,Thursday,27,28,32,40,49,72,53
2022-10-25,Tuesday,1,19,41,48,68,71,25
2022-10-22,Saturday,3,28,31,43,53,59,7
2022-10-20,Thursday,6,8,39,65,67,69,32
2022-10-18,Tuesday,4,5,31,56,57,59,51
2022-10-15,Saturday,12,26,34,69,74,83,66
2022-10-13,Thursday,4,20,64,65,69,79,81
2022-10-11,Tuesday,1,33,35,39,46,58,15
2022-10-08,Saturday,26,33,41,51,80,84,15
2022-10-06,Thursday,10,20,28,62,70,87,59
2022-10-04,Tuesday,4,9,55,68,80,84,38
2022-10-01,Saturday,3,11,14,26,67,82,75
2022-09-29,Thursday,6,35,37,46,59,86,84
2022-09-27,Tuesday,5,22,42,49,62,63,80
2022-09-24,Saturday,19,26,35,44,49,65,24
2022-09-22,Thursday,15,30,42,65,75,81,72
2022-09-20,Tuesday,1,38,39,40,50,83,44
2022-09-17,Saturday,1,10,14,18,42,60,39
2022-09-15,Thursday,27,34,42,59,72,76,25
2022-09-13,Tuesday,5,9,16,20,23,69,31
2022-09-10,Saturday,62,66,68,70,75,83,30
2022-09-08,Thursday,18,26,39,50,71,90,41
2022-09-06,Tuesday,11,13,19,34,49,52,37
2022-09-03,Saturday,22,25,30,37,44,76,1
2022-09-01,Thursday,2,5,13,19,54,89,40
2022-08-30,Tuesday,6,11,23,45,57,75,44
2022-08-27,Saturday,3,5,15,39,45,80,10
2022-08-25,Thursday,33,41,42,84,86,88,38
2022-08-23,Tuesday,7,44,47,51,52,85,89
2022-08-20,Saturday,19,28,31,58,77,85,73
2022-08-18,Thursday,5,25,42,51,71,84,38
2022-08-16,Tuesday,13,19,59,74,81,84,2
2022-08-13,Saturday,8,49,62,65,83,88,45
2022-08-11,Thursday,6,32,34,56,58,87,23
2022-08-09,Tuesday,15,25,26,29,38,39,82
2022-08-06,Saturday,1,21,29,40,42,58,25
2022-08-04,Thursday,20,23,45,66,83,87,16
2022-08-02,Tuesday,9,25,26,49,68,74,81
2022-07-30,Saturday,7,25,28,62,80,87,54
2022-07-28,Thursday,19,20,22,54,72,88,50
2022-07-26,Tuesday,8,31,34,44,56,77,36
2022-07-23,Saturday,29,32,46,56,66,90,21
2022-07-21,Thursday,7,14,24,43,44,90,66
2022-07-19,Tuesday,2,17,27,44,78,79,59
2022-07-16,Saturday,28,29,38,43,62,71,75
2022-07-14,Thursday,3,11,28,39,65,75,48
2022-07-12,Tuesday,11,56,63,66,68,72,58
2022-07-09,Saturday,28,31,41,51,70,83,80
2022-07-07,Thursday,17,24,25,35,66,73,54
2022-07-05,Tuesday,16,17,49,66,82,86,1
2022-07-02,Saturday,1,5,25,34,38,66,51
2022-06-30,Thursday,6,9,12,16,32,79,26
2022-06-28,Tuesday,19,32,36,55,71,81,48
2022-06-25,Saturday,4,30,42,46,58,89,29
2022-06-23,Thursday,34,37,52,55,56,66,79
2022-06-21,Tuesday,12,16,32,46,60,83,54
2022-06-18,Saturday,2,12,16,27,74,78,58
2022-06-16,Thursday,31,54,56,60,66,82,29
2022-06-14,Tuesday,7,34,48,50,53,67,52
2022-06-11,Saturday,5,8,18,28,33,59,9
2022-06-09,Thursday,4,12,20,32,56,88,25
2022-06-07,Tuesday,21,31,49,69,77,90,40
2022-06-06,Monday,8,22,31,53,59,86,75
2022-06-04,Saturday,2,35,41,43,65,71,12
2022-05-31,Tuesday,21,34,35,48,63,82,17
2022-05-28,Saturday,27,42,55,65,84,90,53
2022-05-26,Thursday,10,14,17,32,45,87,18
2022-05-24,Tuesday,22,24,25,32,46,73,29
2022-05-21,Saturday,2,20,25,67,78,80,71
2022-05-19,Thursday,2,9,13,39,40,89,6
2022-05-17,Tuesday,26,29,32,48,65,79,53
2022-05-14,Saturday,13,19,39,42,73,83,60
2022-05-12,Thursday,21,26,28,54,80,85,4
2022-05-10,Tuesday,25,37,47,55,73,81,67
2022-05-07,Saturday,29,41,43,46,51,81,48
2022-05-05,Thursday,25,31,37,38,77,82,43
2022-05-03,Tuesday,13,24,44,47,66,80,46
2022-04-30,Saturday,22,25,34,52,72,85,14
2022-04-28,Thursday,24,61,65,67,71,90,14
2022-04-26,Tuesday,20,44,62,64,67,78,79
2022-04-23,Saturday,6,18,23,33,57,71,65
2022-04-21,Thursday,17,32,46,49,77,88,48
2022-04-19,Tuesday,32,41,63,71,76,89,1
2022-04-16,Saturday,7,21,25,69,76,77,70
2022-04-14,Thursday,5,8,22,38,50,55,12
2022-04-12,Tuesday,15,27,32,51,74,77,44
2022-04-09,Saturday,2,22,27,42,52,89,36
2022-04-07,Thursday,11,20,42,43,51,86,71
2022-04-05,Tuesday,5,21,48,63,83,86,30
2022-04-02,Saturday,24,35,45,54,65,68,7
2022-03-31,Thursday,15,43,51,59,64,74,11
2022-03-29,Tuesday,9,32,48,55,68,72,36
2022-03-26,Saturday,22,38,74,81,84,89,72
2022-03-24,Thursday,15,35,37,48,62,77,28
2022-03-22,Tuesday,27,30,49,68,74,88,64
2022-03-19,Saturday,20,41,61,67,73,83,4
2022-03-17,Thursday,14,52,53,54,55,86,34
2022-03-15,Tuesday,8,22,53,65,75,86,55
2022-03-12,Saturday,24,32,41,56,76,80,10
2022-03-10,Thursday,18,34,39,47,52,66,22
2022-03-08,Tuesday,3,15,16,21,31,80,24
2022-03-05,Saturday,3,9,58,66,68,80,35
2022-03-03,Thursday,31,33,40,43,47,80,2
2022-03-01,Tuesday,15,44,60,79,81,83,64
2022-02-26,Saturday,6,24,38,52,84,87,4
2022-02-24,Thursday,16,28,38,52,69,73,17
2022-02-22,Tuesday,9,15,29,59,64,74,22
2022-02-19,Saturday,9,13,15,65,74,81,66
2022-02-17,Thursday,36,48,67,77,85,87,38
2022-02-15,Tuesday,1,9,44,49,60,74,70
2022-02-12,Saturday,14,22,27,47,68,77,44
2022-02-10,Thursday,25,35,51,52,58,59,82
2022-02-08,Tuesday,36,38,57,62,64,81,68
2022-02-05,Saturday,30,39,48,55,76,81,82
2022-02-03,Thursday,21,26,28,35,65,77,46
2022-02-01,Tuesday,5,10,29,31,47,58,34
2022-01-29,Saturday,1,23,63,79,82,89,68
2022-01-27,Thursday,30,53,63,74,83,88,44
2022-01-25,Tuesday,4,13,16,21,23,50,63
2022-01-22,Saturday,5,13,27,37,50,59,76
2022-01-20,Thursday,32,33,37,53,77,79,76
2022-01-18,Tuesday,33,34,43,46,49,66,87
2022-01-15,Saturday,6,19,48,51,73,89,32
2022-01-13,Thursday,10,34,56,66,78,87,52
2022-01-11,Tuesday,15,22,24,33,38,71,47
2022-01-10,Monday,3,25,30,58,66,84,72
2022-01-08,Saturday,35,42,49,63,68,78,1
2022-01-04,Tuesday,5,18,59,78,81,89,10
2022-01-03,Monday,9,47,50,67,73,74,85
2021-12-30,Thursday,10,20,40,55,68,86,26
2021-12-28,Tuesday,13,19,47,70,77,83,31
2021-12-27,Monday,6,10,11,41,61,80,76
2021-12-23,Thursday,11,15,17,37,54,89,8
2021-12-21,Tuesday,30,49,61,62,79,87,63
2021-12-18,Saturday,6,31,44,57,73,77,61
2021-12-16,Thursday,12,35,37,41,75,76,16
2021-12-14,Tuesday,35,59,64,65,68,73,50
